doc_id,category,BLEU,ROUGE-L,OrigIntent_F1,SIM_F1,LLM_Judge
IND_54,Land Dispute,0.14033495785095168,0.19734345351043645,0.07079646017699116,0.5547445255474452,4
IND_55,Land Dispute,0.2670557626402498,0.29718004338394793,0.1276595744680851,0.7719298245614035,4
IND_56,Robbery,0.30667889436946566,0.38917089678511,0.25,0.4235294117647059,4
IND_57,Robbery,0.27486392100911133,0.2789598108747045,0.10526315789473685,0.5714285714285714,4
IND_58,Robbery,0.24018126753045585,0.35690235690235694,0.08333333333333333,0.5581395348837209,4
IND_59,Robbery,0.4203629716028997,0.4332688588007737,0.2625,0.7241379310344828,4
IND_60,Robbery,0.12618575293797019,0.23066104078762306,0.07142857142857142,0.5,4
IND_61,Robbery,0.4984025568181646,0.5227568270481144,0.2857142857142857,0.7857142857142858,3
IND_62,Robbery,0.11456862658252788,0.19660411081322607,0.11538461538461536,0.6,4
IND_63,Robbery,0.48523842999534783,0.5646551724137931,0.2684563758389262,0.7272727272727273,5
IND_64,Robbery,0.36029674755393737,0.3563770794824399,0.1095890410958904,0.670859538784067,5
IND_65,Robbery,0.09485496098727753,0.2044517724649629,0.04316546762589928,0.7064364207221351,4
IND_66,Corruption,0.04921524673914814,0.08206958073148975,0.044444444444444446,0.7947019867549668,5
IND_67,Corruption,0.00360261247885526,0.01853832442067736,0.0,0.880503144654088,5
IND_68,Corruption,0.012790045921818314,0.02941176470588235,0.0,0.7848101265822784,4
IND_69,Corruption,0.001607580202170913,0.01927710843373494,0.0,0.7659574468085107,4
IND_70,Corruption,0.005809452425794274,0.04532248692620569,0.0,0.8596491228070176,5
IND_71,Corruption,0.2770908855466172,0.3671291355389541,0.1333333333333333,0.6452554744525547,4
IND_72,Corruption,0.020994077068804767,0.03844258255298176,0.0,0.4857142857142857,5
IND_73,Land Dispute,0.007372948000958504,0.01730103806228374,0.02857142857142857,0.8539325842696629,4
IND_74,Land Dispute,0.00224814982993085,0.022535211267605635,0.0,0.7719298245614035,5
IND_75,Land Dispute,0.08728786865715214,0.21511627906976744,0.06451612903225805,0.7777777777777778,4
IND_76,Land Dispute,0.025983430281519736,0.040455120101137804,0.0,0.8235294117647058,4
IND_77,Land Dispute,0.25818350981850124,0.4390243902439024,0.09090909090909093,0.7741935483870968,5
IND_78,Land Dispute,0.3533245424470312,0.3432518597236982,0.10389610389610389,0.7930574098798397,5
IND_79,Land Dispute,0.043413250516231044,0.10311111111111111,0.02816901408450704,0.7710843373493976,5
IND_80,Land Dispute,0.03270512784778609,0.06196213425129087,0.05,0.782608695652174,4
IND_81,Land Dispute,0.008677691169503184,0.0485133020344288,0.0,0.7391304347826086,4
IND_82,Land Dispute,0.06861215093730753,0.10688836104513065,0.0,0.8787878787878788,5
IND_83,Murder,0.039267678521233834,0.15822784810126583,0.0,0.8695652173913044,5
IND_84,Murder,0.10612568531157526,0.2345679012345679,0.06451612903225808,0.7058823529411765,5
IND_85,Murder,0.0407525253816492,0.10240655401945724,0.0,0.8727272727272727,4
IND_86,Murder,0.0331792946986531,0.08083441981747067,0.0,0.7586206896551725,5
IND_87,Murder,0.039151407284930544,0.07197382769901853,0.0,0.7394366197183098,5
IND_88,Murder,0.005835036440380945,0.0881057268722467,0.0,0.7962085308056872,4
IND_89,Murder,0.02401102829577788,0.055555555555555566,0.0,0.8214285714285715,5
IND_90,Murder,0.04016932955484828,0.10384215991692627,0.0,0.7783783783783783,5
IND_91,Murder,0.010358840835594109,0.028409090909090908,0.058823529411764705,0.7533632286995515,4
IND_92,Murder,0.0009420310982156156,0.04020100502512563,0.0,0.3178807947019867,5
IND_93,Robbery,0.020994077068804767,0.03844258255298176,0.0,0.26498422712933756,5
